Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
807946811,ARNOLD FEED AND SEED,832871141,9419765,ARNOLD FEED AND SEED,CAMPBELLSVILLE,9419765,12221041,888346010545,00888346010545,A.DK.DKA44-16RR.S80.50#.34.US,,0,0,0.000,8H52,12/09/2022,13/09/2022,09/09/2022,C
807946811,ARNOLD FEED AND SEED,832871141,9419765,ARNOLD FEED AND SEED,CAMPBELLSVILLE,9419765,12221041,888346010545,00888346010545,A.DK.DKA44-16RR.S80.50#.34.US,FG2AY1X,3,3,150.000,8H52,12/09/2022,13/09/2022,12/09/2022,C
807946811,ARNOLD FEED AND SEED,832871141,9419765,ARNOLD FEED AND SEED,CAMPBELLSVILLE,9419765,12221041,888346010545,00888346010545,A.DK.DKA44-16RR.S80.50#.34.US,FG1AF1XMW2,2,2,100.000,8H52,12/09/2022,13/09/2022,12/09/2022,C
807973794,ARNOLD FEED AND SEED,832895403,9419765,ARNOLD FEED AND SEED,CAMPBELLSVILLE,9419765,12221041,888346010545,00888346010545,A.DK.DKA44-16RR.S80.50#.34.US,FG1CA1X,1,1,50.000,8H52,27/09/2022,04/10/2022,26/09/2022,C
807961195,POWELL SEED,832884395,9227275,POWELL SEED WHS,HOLYOKE,9240079,12622563,888346459061,00888346459061,A.DK.DKA50-17.50#.34.US,FG2BX1X,150,150,"7,500.000",8H82,20/09/2022,23/09/2022,19/09/2022,C
808443017,SHAWN SULLIVAN SEED WALLACE NE,833369126,4198029,SHAWN SULLIVAN SEED WALLACE NE,WALLACE,4198029,12592062,888346332401,00888346332401,B.AS.A3253.S00.40SCUMB.X.US,,0,0,0.000,8H52,12/04/2023,13/04/2023,10/04/2023,C
808443017,SHAWN SULLIVAN SEED WALLACE NE,833369126,4198029,SHAWN SULLIVAN SEED WALLACE NE,WALLACE,4198029,12592062,888346332401,00888346332401,B.AS.A3253.S00.40SCUMB.X.US,ST2SF61A,320,8,"19,744.000",8H52,12/04/2023,13/04/2023,10/04/2023,C
808456747,SHAWN SULLIVAN SEED WALLACE NE,833375312,4198029,SHAWN SULLIVAN SEED WALLACE NE,WALLACE,4198029,12592062,888346332401,00888346332401,B.AS.A3253.S00.40SCUMB.X.US,,0,0,0.000,8H52,14/04/2023,18/04/2023,13/04/2023,C
808456747,SHAWN SULLIVAN SEED WALLACE NE,833375312,4198029,SHAWN SULLIVAN SEED WALLACE NE,WALLACE,4198029,12592062,888346332401,00888346332401,B.AS.A3253.S00.40SCUMB.X.US,ST2SF61C,40,1,"2,468.000",8H52,14/04/2023,18/04/2023,13/04/2023,C
808364546,MOORETON CHEMICAL LLC,833324507,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88364740,190794541077,00190794541077,B.AS.AG07XF2.SD3.40SCUMB.X.US,,0,0,0.000,8HH8,29/03/2023,29/03/2023,17/03/2023,C
